outcome,state,regional,number
assault,NSW,true,43346
assault,NSW,false,51887
"sexual offences (non-rape)",NSW,true,2574
"sexual offences (non-rape)",NSW,false,3072
rape,NSW,true,2384
rape,NSW,false,2245
robbery,NSW,true,1047
robbery,NSW,false,3507
arson,NSW,true,4044
arson,NSW,false,2957
"property damage",NSW,true,38527
"property damage",NSW,false,43934
"drug offences",NSW,true,16907
"drug offences",NSW,false,26719
theft,NSW,false,158888
theft,NSW,true,99345
homicide,NSW,true,35
homicide,NSW,false,75
driving,NSW,false,52154
driving,NSW,true,6702
