outcome,state,regional,chances
assault,SA,true,0.01065
"sexual offences (non-rape)",SA,true,0.00092
rape,SA,true,0.00035
robbery,SA,true,0.00013
arson,SA,true,0.00122
"property damage",SA,true,0.01213
"criminal trepass",SA,true,0.00826
"other offenses against property",SA,true,0.02566
"drug offences",SA,true,0.00415
"driving under alcohol drugs",SA,true,0.00576
"dangerous driving",SA,true,0.00184
"other driving offences",SA,true,0.00948
assault,SA,false,0.01083
"sexual offences (non-rape)",SA,false,0.00082
rape,SA,false,0.00036
robbery,SA,false,0.00064
arson,SA,false,0.0014
"property damage",SA,false,0.01098
"criminal trepass",SA,false,0.00922
"other offenses against property",SA,false,0.03829
"drug offences",SA,false,0.00357
"driving under alcohol drugs",SA,false,0.00415
"dangerous driving",SA,false,0.00129
"other driving offences",SA,false,0.00769
